Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Bathroom,Point Of Contact,Size-binned,Rent-binned,Furnished,Semi-Furnished,Unfurnished,Bachelors,Bachelors/Family,Family
2022-06-01,3,40000.0,1286,1 out of 1,Carpet Area,New Town Action Area 1,Kolkata,2,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-17,2,6000.0,600,1 out of 2,Super Area,Barasat,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-20,2,10000.0,800,Ground out of 2,Super Area,Behala,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-09,2,11000.0,2000,Ground out of 3,Carpet Area,Behala Chowrasta,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-09,2,6000.0,660,1 out of 2,Super Area,Behala,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-02,2,7900.0,650,1 out of 2,Carpet Area,Santoshpur,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,0,1
2022-06-14,2,9000.0,400,2 out of 3,Carpet Area,"Garia Station, Garia",Kolkata,2,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-15,1,4000.0,300,Ground out of 4,Carpet Area,"Garia Station, Garia",Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-15,3,6500.0,1600,Ground out of 2,Super Area,Joka,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-28,1,8000.0,400,1 out of 2,Super Area,Sreebhumi,Kolkata,1,Contact Agent,Small,Low,0,1,0,1,0,0
2022-05-22,2,7000.0,1000,1 out of 1,Super Area,Rajarhat,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-18,1,5300.0,355,1 out of 1,Carpet Area,Dum Dum,Kolkata,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-25,2,6000.0,1000,Ground out of 3,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-22,2,8500.0,800,4 out of 5,Super Area,Baguiati,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-25,2,12500.0,850,Ground out of 2,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-21,1,7500.0,350,Ground out of 2,Carpet Area,Baghajatin,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-26,2,15000.0,900,Ground out of 2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-16,2,6000.0,550,1 out of 1,Super Area,Vip Road,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-29,2,5000.0,500,Ground out of 2,Carpet Area,Baruipur,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-10,3,22000.0,1100,2 out of 3,Carpet Area,Dumdum Park,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-12,2,15000.0,850,1 out of 2,Carpet Area,Sreebhumi,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-03,2,12500.0,800,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,1,Contact Agent,Small,Low,0,0,1,1,0,0
2022-05-31,2,7000.0,630,Ground out of 3,Carpet Area,Birati,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-10,2,21000.0,900,1 out of 2,Carpet Area,Bansdroni,Kolkata,2,Contact Owner,Small,Low,0,1,0,1,0,0
2022-06-24,1,10000.0,270,1 out of 2,Carpet Area,Jadavpur University,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-29,2,7200.0,630,Ground out of 1,Carpet Area,Birati,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-12,3,12000.0,1500,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,2,Contact Owner,Small,Low,1,0,0,1,0,0
2022-06-26,1,5000.0,600,2 out of 5,Super Area,Behala,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-04-30,2,8500.0,700,4 out of 14,Carpet Area,Baruipur,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-27,1,6000.0,300,Ground out of 3,Super Area,Ballygunge,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-06,2,10000.0,1300,Ground out of 1,Super Area,Kalikapur,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,0,1
2022-05-20,2,4600.0,400,3 out of 3,Carpet Area,Behala,Kolkata,1,Contact Owner,Small,Low,0,1,0,1,0,0
2022-07-02,2,12000.0,650,Ground out of 1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,2,Contact Owner,Small,Low,0,0,1,0,0,1
2022-05-26,3,30000.0,2000,Ground out of 2,Super Area,Behala,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-12,3,15000.0,1068,Ground out of 3,Super Area,Bansdroni,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-22,1,7500.0,150,1 out of 1,Super Area,Salt Lake City,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-25,1,7500.0,450,2 out of 2,Carpet Area,New Town,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-07-03,2,5000.0,800,Ground out of 1,Carpet Area,Baruipur,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-04-23,2,15000.0,1000,Ground out of 2,Super Area,Bansdroni,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-14,2,11000.0,900,5 out of 5,Super Area,Pancha Sayar,Kolkata,1,Contact Owner,Small,Low,0,1,0,1,0,0
2022-05-27,1,7000.0,600,Ground out of 2,Carpet Area,Behala,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-19,2,6000.0,1200,1 out of 1,Super Area,Hooghly-Chinsurah,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-19,2,6000.0,1200,2 out of 2,Super Area,Hooghly-Chinsurah,Kolkata,2,Contact Owner,Small,Low,0,1,0,1,0,0
2022-07-02,2,7000.0,650,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-06,2,8500.0,720,4 out of 4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-02,1,5000.0,300,1 out of 3,Carpet Area,Kasba,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-21,3,30000.0,1200,Ground out of 2,Carpet Area,VIP Road Haldiram,Kolkata,3,Contact Agent,Small,Low,0,0,1,0,1,0
2022-06-04,2,10000.0,700,7 out of 8,Carpet Area,Sarsuna,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-24,3,30000.0,2000,1 out of 3,Super Area,Naihati,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-14,1,3500.0,250,Ground out of 4,Super Area,Baksara,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-26,2,8000.0,1100,Ground out of 3,Carpet Area,Naihati,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-07-02,1,5000.0,300,Ground out of 2,Carpet Area,Kasba,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-05,2,7500.0,600,Ground out of 2,Super Area,"Amtala, Diamond Harbour Road",Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-18,2,6500.0,800,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-07,1,7500.0,680,1 out of 3,Super Area,Jadavpur,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-07,1,7500.0,680,Ground out of 2,Super Area,Jadavpur,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-26,2,16000.0,850,1 out of 4,Carpet Area,Salt Lake City Sector 1,Kolkata,1,Contact Agent,Small,Low,0,1,0,1,0,0
2022-06-26,2,16000.0,850,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,1,Contact Agent,Small,Low,0,1,0,1,0,0
2022-05-30,2,6500.0,700,Ground out of 2,Super Area,Bandel,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-05-22,3,40000.0,1500,Ground out of 2,Super Area,Beliaghata,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-18,2,12500.0,950,1 out of 4,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-08,2,5500.0,500,Ground out of 2,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-25,1,5000.0,450,2 out of 4,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-03,2,6500.0,700,Ground out of 2,Super Area,Sonarpur,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-05-12,1,8000.0,500,1 out of 2,Super Area,Lake Town,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-01,3,14500.0,1800,Ground out of 2,Super Area,Belghoria,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,1,8200.0,500,1 out of 3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,2,15000.0,480,Ground out of 3,Carpet Area,shukhobrishti,Kolkata,2,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-21,6,20000.0,1000,1 out of 1,Super Area,Sonarpur,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-22,2,6700.0,800,1 out of 2,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-27,1,10000.0,435,2 out of 3,Super Area,Kasba,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-07,2,7000.0,700,Ground out of 2,Carpet Area,Dum Dum Metro,Kolkata,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-25,2,22000.0,800,4 out of 4,Super Area,"Hazra, Kalighat",Kolkata,1,Contact Agent,Small,Low,1,0,0,0,1,0
2022-06-27,2,6500.0,450,1 out of 3,Super Area,Ajoy Nagar,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-31,2,8500.0,550,2 out of 3,Carpet Area,Kasba -East,Kolkata,1,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-03,2,18000.0,800,Ground out of 4,Carpet Area,Salt Lake City,Kolkata,2,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-27,2,12000.0,550,Ground out of 2,Carpet Area,Baghajatin,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,0,1
2022-05-15,1,9000.0,600,2 out of 4,Super Area,Behala,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-09,1,6000.0,500,Ground out of 1,Super Area,"New Garia, Garia",Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-04-28,2,20000.0,1000,1 out of 2,Super Area,Anandapur,Kolkata,2,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-23,1,5000.0,300,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-28,2,12000.0,1200,1 out of 3,Super Area,Boral,Kolkata,2,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-23,2,10000.0,500,3 out of 4,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-29,4,18000.0,1200,1 out of 2,Super Area,Bagbazar,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,0,1
2022-06-13,2,15000.0,900,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-13,3,22000.0,1300,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,3,Contact Agent,Small,Low,0,0,1,0,1,0
2022-06-13,4,35000.0,1600,1 out of 5,Carpet Area,Salt Lake City Sector 3,Kolkata,3,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-14,3,21000.0,1450,Ground out of 1,Super Area,Ajoy Nagar,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,0,1
2022-07-06,2,25000.0,1100,2 out of 2,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,2,Contact Agent,Small,Low,1,0,0,1,0,0
2022-06-16,2,180000.0,950,Ground out of 1,Carpet Area,"Avenue S, Santoshpur",Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-06,1,6000.0,600,8 out of 5,Carpet Area,Pratiraksha Nagar,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-04,2,14000.0,700,Ground out of 2,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-15,3,8000.0,750,Ground out of 2,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,1,Contact Owner,Small,Low,0,0,1,0,0,1
2022-05-04,2,8000.0,1000,Ground out of 1,Super Area,"Purbasan, Thakurpukur",Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-04-25,1,6000.0,220,Ground out of 2,Super Area,"Bidhan Pally, Bansdroni",Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-21,1,8000.0,300,1 out of 3,Carpet Area,"Naktala, Garia",Kolkata,1,Contact Agent,Small,Low,0,1,0,1,0,0
2022-06-27,1,6000.0,300,Ground out of 1,Carpet Area,Tiljala Road,Kolkata,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-02,1,20000.0,700,1 out of 2,Super Area,Sankaritola,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-06,3,12000.0,800,Ground out of 1,Super Area,"Parnashree Lake, Behala",Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-04-28,3,15000.0,1600,1 out of 3,Super Area,Garia,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-15,2,14000.0,1000,1 out of 3,Carpet Area,Kasba,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-30,1,5000.0,20,2 out of 3,Super Area,Dakshineswar,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-10,2,7000.0,400,Ground out of 2,Carpet Area,chatana,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-23,1,3900.0,200,2 out of 2,Super Area,Shyam Bazar,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-09,3,14000.0,840,1 out of 4,Carpet Area,Mukundapur,Kolkata,2,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-19,1,6300.0,300,1 out of 1,Carpet Area,Salt Lake City Sector 5,Kolkata,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-07-03,2,13000.0,550,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,2,Contact Agent,Small,Low,1,0,0,0,1,0
2022-07-03,1,6800.0,300,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-14,2,8000.0,800,1 out of 1,Super Area,Behala Chowrasta,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-10,2,10000.0,740,Ground out of 6,Carpet Area,Sonarpur,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-04-25,2,18000.0,1300,1 out of 1,Super Area,Santoshpur,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-13,2,8000.0,650,Ground out of 1,Super Area,"Garia Station, Garia",Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-06,2,8000.0,490,1 out of 1,Super Area,Entally,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-08,1,4700.0,250,2 out of 2,Super Area,Kaikhali,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-08,1,4700.0,250,Ground out of 1,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-06,1,4500.0,450,1 out of 2,Super Area,"Rabindra Pally, Keshtopur",Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-30,1,6000.0,300,Ground out of 1,Carpet Area,Salt Lake City Sector 1,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-24,2,16000.0,750,1 out of 3,Super Area,"Rajdanga Gardens, Kasba",Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-01,1,4700.0,250,1 out of 2,Super Area,Kaikhali,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-17,2,14000.0,751,3 out of 3,Carpet Area,Baghajatin,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-26,2,9000.0,900,Ground out of 2,Carpet Area,Lake Town,Kolkata,1,Contact Owner,Small,Low,0,1,0,1,0,0
2022-06-23,2,5000.0,400,1 out of 3,Carpet Area,Keshtopur,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-13,2,17500.0,1000,Ground out of 2,Carpet Area,Salt Lake City,Kolkata,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-11,2,8500.0,1000,Ground out of 1,Carpet Area,South Baksara,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-26,3,15000.0,1500,1 out of 1,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,2,Contact Owner,Small,Low,0,1,0,0,0,1
2022-04-25,2,12500.0,750,1 out of 3,Carpet Area,"Sukhpally, Haltu",Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-11,1,13000.0,1200,2 out of 4,Super Area,Kasba,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-06,2,8000.0,700,Ground out of 1,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-10,2,8000.0,700,4 out of 4,Carpet Area,Garia Dhalua Nabapally,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-21,2,8000.0,1000,Ground out of 2,Super Area,"Chinar Park, Rajarhat",Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-12,2,7000.0,1200,1 out of 3,Super Area,Konnagar,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-05,2,2200.0,550,2 out of 3,Super Area,Behala silpara,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-25,2,8000.0,800,Ground out of 4,Carpet Area,Vip Road,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-11,2,5500.0,280,1 out of 3,Super Area,New Barrakpur,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-07-04,3,20000.0,1100,Ground out of 2,Super Area,"Thakurpukur, Kolkata",Kolkata,3,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-10,2,7000.0,950,Ground out of 2,Super Area,Kaikhali,Kolkata,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-13,1,3500.0,250,1 out of 2,Super Area,"Phool Bagan, Kankurgachi",Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-10,2,5000.0,1000,Ground out of 2,Carpet Area,Hindmotor,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-30,3,20000.0,1000,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-27,2,7000.0,650,Ground out of 2,Super Area,Howrah,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-08,2,10000.0,700,1 out of 2,Super Area,Benia Pukur,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-15,2,7000.0,700,Ground out of 3,Carpet Area,Baguiati,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-06-29,3,12000.0,1000,Ground out of 3,Super Area,E M Bypass,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-13,2,14500.0,900,1 out of 4,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,2,Contact Owner,Small,Low,0,0,1,1,0,0
2022-05-25,1,6000.0,700,1 out of 2,Super Area,"VIP Nagar, E M Bypass",Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-07-04,2,9500.0,700,1 out of 2,Super Area,Jadavpur,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-27,2,10000.0,450,2 out of 1,Carpet Area,Behala,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-06,1,3500.0,120,Ground out of 3,Super Area,Dum Dum Cantonment,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-01,2,9000.0,800,1 out of 2,Super Area,"New Garia, Garia",Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-07,3,40000.0,1220,2 out of 3,Carpet Area,Salt Lake City Sector 3,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-23,3,16500.0,1100,Ground out of 3,Super Area,Mominpur,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-12,3,8000.0,700,Ground out of 3,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,2,Contact Owner,Small,Low,0,0,1,0,0,1
2022-05-10,2,12000.0,800,Ground out of 3,Super Area,Santoshpur,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-27,2,6500.0,670,2 out of 2,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,1,Contact Owner,Small,Low,0,0,1,0,0,1
2022-04-30,4,40000.0,1300,1 out of 2,Super Area,Ballygunge,Kolkata,3,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-06,1,5000.0,190,Ground out of 2,Super Area,Baguihati,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-24,2,9000.0,700,Ground out of 2,Super Area,Kabardanga,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-06-17,1,7000.0,240,Ground out of 4,Carpet Area,Jadavpur,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-05-19,2,18000.0,850,2 out of 4,Carpet Area,Behala Chowrasta,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,0,1
2022-05-26,1,9000.0,950,1 out of 2,Super Area,Haltu,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-11,1,5500.0,450,1 out of 2,Carpet Area,Botanical Garden Area,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-08,2,7500.0,800,Ground out of 2,Carpet Area,Bonhooghly,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-07-02,2,4000.0,600,1 out of 2,Carpet Area,Nilgung Old Bazar,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-30,3,10500.0,800,2 out of 2,Carpet Area,"Teghoria, Baguiati",Kolkata,2,Contact Owner,Small,Low,0,0,1,1,0,0
2022-07-03,3,15000.0,1100,Ground out of 2,Carpet Area,Survey Park,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-16,2,15000.0,800,Ground out of 2,Carpet Area,Baguiati,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-13,1,50000.0,2200,2 out of 5,Super Area,Kanchrapara,Kolkata,3,Contact Owner,Small,Low,1,0,0,0,1,0
2022-06-08,2,12000.0,950,1 out of 1,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,2,Contact Owner,Small,Low,0,0,1,1,0,0
2022-04-25,2,11000.0,550,2 out of 3,Carpet Area,Ultadanga,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-04,2,12000.0,1800,1 out of 1,Carpet Area,Birati,Kolkata,2,Contact Owner,Small,Low,0,0,1,1,0,0
2022-05-11,2,8000.0,1000,Ground out of 2,Super Area,"Chinar Park, Rajarhat",Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
2022-05-27,2,18000.0,600,Ground out of 3,Super Area,Bagha Jatin Pally,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-04-24,2,8000.0,750,2 out of 4,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-10,2,7000.0,685,2 out of 3,Super Area,Dum Dum Metro,Kolkata,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-24,1,6500.0,44,Ground out of 1,Carpet Area,Baranagar,Kolkata,1,Contact Owner,Small,Low,1,0,0,0,1,0
